RecordID,event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
131,faction_commission,annul,,,secure_comm,Comissão com $theFaction anulada,mensagem é um comunicado oficial de $theFaction que anula sua comissão por falta de regularidade.,Pode aceitar outra comissão quando a posição melhorar.,,,"important, nomap",,
103,analyze_entity,accept,,,secure_comm,Aceito: execute o pacote de sensores em $entityName em $systemName,"Recompensa $rewardCredits, deve ser concluída em $daysLeft.

A missão será considerada concluída e o pagamento será postado imediatamente após a execução do pacote de sensores.",$locationHint,,,"no_system_prefix, important",,
147,civil_disorder,start1,,,news,Desordem civil $onOrAt $market,Uma greve geral estourou $onOrAt $market. Funcionários de $rulingfaction divulgaram um comunicado condenando as ações de alguns líderes antigovernamentais.,Diminuição da produção $onOrAt $market.,,,,,
34,investigation_comm_sniffer,start_comm_sniffer,,,player_intel_always,Contato perdido com o sniffer de comunicação em $name,"O sniffer de comunicação que você instalou em $name parou de gerar relatórios. Provavelmente, isso se deve ao fato de ele ter sido removido por software de segurança. É possível que uma auditoria manual dos logs de segurança gere uma investigação sobre a origem do sniffer.",O sniffer de comunicação em $name não está mais operacional.,,,,,
29,investigation_goodrep,clear_goodrep,,,player_intel_always,$MarketFaction investigação de seus laços com $OtherFaction - liberada,A investigação de $marketFaction sobre seus vínculos com $theOtherFactionLong terminou e você foi inocentado de agir contra os interesses de $marketFaction.,O relacionamento com $theMarketFaction não é afetado.,,,important,,
111,survey_planet,success,,,player_intel_always,Concluído: execute uma pesquisa completa em $planetName em $systemName,Missão concluída com sucesso.,$rewardCredits ganhou.,,,"no_system_prefix, important",,
19,food_shortage,end_player_fast,,,news,Escassez de alimentos $onOrAt $market acabou,O relatório indica que a escassez de alimentos $onOrAt $market acabou. A chegada atempada de uma frota de socorro comandada por $playerName é responsável por acabar rapidamente com a escassez e mitigar os seus efeitos a longo prazo.,"Não há aumento de agitação $onOrAt $market.

Os preços dos alimentos $onOrAt $market voltaram aos níveis normais.",,graphics/icons/markets/food_shortage.png,prices,,
38,trade_disruption,report_td,,,news,Comércio interrompido $onOrAt $market no sistema $marketSistema,As frotas comerciais que vão ou partem de $market não chegam ao seu destino em números significativos. O relatório aponta a pirataria ou a guerra como os culpados mais prováveis.,"É provável que os preços voltem ao normal dentro de dois meses.

As seguintes commodities serão afetadas:
$commoditySummary

Selecione ""preços"" e mude para a guia do mapa para obter detalhes.",,graphics/icons/markets/trade_disruption.png,prices,,
88,test_mission,start,,,player_intel_always,Missão de teste aceita,"Você aceitou uma missão de teste. Parabéns, eu acho.",Provavelmente não haverá recompensas.,,,,,
4,food_shortage,likely,0.5,FRIENDLY,hegemony_internal,Provável escassez de alimentos $onOrAt $market,Este relatório indica que é quase certo que ocorrerá uma escassez de alimentos $onOrAt $market e aconselha as unidades a aguardarem para prestar assistência.,Entregar alimentos suficientes para $market rapidamente reduzirá a duração e o impacto da escassez.,,graphics/icons/markets/food_shortage.png,,,
5,food_shortage,start,,,news,Escassez de alimentos $onOrAt $market,"O relatório discute a escassez de alimentos $onOrAt $market e fornece uma perspectiva equilibrada, mas não identifica uma causa específica. O culpado mais provável parece ser um erro em cascata num sistema logístico em deterioração.","Aumento dos preços dos alimentos $onOrAt $market.

Estabilidade reduzida em $stabilityPenalty.

Aproximadamente $neededFood unidades de alimentos necessárias para acabar com a escassez.
Frota de socorro provavelmente será enviada de um sistema estelar próximo.

Maior impacto na reputação da venda de alimentos. A venda de alimentos no mercado negro aumentará a agitação pós-escassez.",,graphics/icons/markets/food_shortage.png,prices,,
150,civil_disorder,ending1,,,news,,A lei marcial foi declarada $onOrAt $market para suprimir a desordem civil.,A produção provavelmente retornará em breve aos níveis normais.,,,,,
73,system_bounty,end,,,news,Recompensa oferecida por $market acima,As autoridades $onOrAt $market declararam que o período de recompensa terminou oficialmente.,Não serão feitos mais pagamentos de recompensas.,,,nomap,,
128,faction_commission,accept,,,secure_comm,Comissão $Faction aceita,"Necessário para a maioria das compras no mercado militar e paga uma pequena recompensa aos inimigos da facção, que se tornarão hostis ao titular da comissão.","A recompensa começa com $baseBounty créditos para uma fragata inimiga e sobe para navios maiores.

Será anulada se a reputação do detentor da comissão com $theFaction cair abaixo de neutro.
",,,important,,
46,#rep_tracker,trade_no_change,,,player_intel_always,Permanecendo com $theFaction não afetado pela negociação,"Sua recente atividade comercial com $marketList, embora observada por $theFaction, não levou a nenhuma mudança nas relações.",A relação está num ponto em que o comércio não a influenciará.,,,,,
84,person_bounty,other_end,,,news,Recompensa por $targetName acabou,Os relatórios indicam que $targetName foi morto em um incidente não relacionado à postagem da recompensa.,A recompensa não está mais em oferta.,,,nomap,,
